Date/Time,Word Count,en,ms,zh-SG
2017.02.20-01.16.24,0,0,,
2017.02.20-01.17.06,145,145,,
2017.02.20-02.13.29,145,145,0,
2017.02.20-02.36.16,145,145,81,
2017.02.20-02.38.34,153,153,81,
2017.02.20-02.40.38,153,153,81,
2017.02.20-02.40.58,153,153,81,
2017.02.21-02.32.39,159,159,81,
2017.03.09-02.14.08,159,159,81,
2017.03.09-02.19.13,159,159,81,
2017.03.09-02.19.43,159,159,81,
2017.03.09-02.21.19,167,167,81,
2017.03.09-02.22.21,167,167,81,
2017.03.09-02.22.48,167,167,81,0
2017.03.09-02.27.17,167,167,81,0
2017.03.09-02.29.22,167,167,81,0
2017.03.09-02.31.33,178,178,81,0
2017.03.09-02.37.39,178,178,81,0
2017.03.09-02.44.22,178,178,81,
